 ,Dep.,Apelido,Região, .1,Situação, .2,Função,Tipo Apanha Frac.,Promoção,Altura,Num.Posto,Descr.Posto,Motivo Bloqueio, .3,Data Último Invent.,Sit.Último Invent.,Total Invent.
,1,010-012-05-02,1,,Uso,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,2025-01-04 10:18:59,Contado,6
,1,010-012-06-01,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-012-06-02,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-012-07-01,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-012-07-02,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-012-08-01,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-012-08-02,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-014-03-01,1,,Inativo,,Armazenagem,,,ALTURA PADRAO PALETE,0,,,,,Pendente,0
,1,010-014-03-02,1,,Inativo,,Armazenagem,,,ALTURA PADRAO PALETE,0,,,,2024-08-22 08:46:13,Cancelado,3
,1,010-014-04-01,1,,Uso,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,2025-01-04 08:41:07,Contado,8
,1,010-014-04-02,1,,Uso,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,2025-01-04 08:41:07,Contado,8
,1,010-014-05-01,1,,Uso,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,2025-01-04 10:18:59,Contado,7
,1,010-014-05-02,1,,Uso,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,2025-01-04 10:18:59,Contado,6
,1,010-014-06-01,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-014-06-02,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-014-07-01,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-014-07-02,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-014-08-01,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-014-08-02,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-016-03-01,1,,Inativo,,Armazenagem,,,ALTURA PADRAO PALETE,0,,,,,Pendente,0
,1,010-016-03-02,1,,Inativo,,Armazenagem,,,ALTURA PADRAO PALETE,0,,,,2024-08-22 08:46:13,Cancelado,3
,1,010-016-04-01,1,,Bloq.Invent.,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,INVENTARIO,,2025-01-06 16:55:56,Pendente,10
,1,010-016-04-02,1,,Uso,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,2025-01-04 08:41:07,Contado,5
,1,010-016-05-01,1,,Uso,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,2025-01-04 10:18:59,Contado,8
,1,010-016-05-02,1,,Uso,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,2025-01-04 10:18:59,Contado,3
,1,010-016-06-01,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-016-06-02,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-016-07-01,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-016-07-02,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-016-08-01,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-016-08-02,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-018-03-01,1,,Inativo,,Armazenagem,,,ALTURA PADRAO PALETE,0,,,,,Pendente,0
,1,010-018-03-02,1,,Inativo,,Armazenagem,,,ALTURA PADRAO PALETE,0,,,,2024-08-22 08:46:13,Cancelado,3
,1,010-018-04-01,1,,Bloq.Invent.,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,INVENTARIO,,2025-01-06 16:55:57,Pendente,7
,1,010-018-04-02,1,,Uso,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,2025-01-04 08:41:07,Contado,5
,1,010-018-05-01,1,,Uso,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,2025-01-04 10:18:59,Contado,3
,1,010-018-05-02,1,,Bloq.Invent.,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,INVENTARIO,,2025-01-06 16:55:57,Pendente,4
,1,010-018-06-01,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-018-06-02,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-018-07-01,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-018-07-02,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-018-08-01,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-018-08-02,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-020-03-01,1,,Inativo,,Armazenagem,,,ALTURA PADRAO PALETE,0,,,,,Pendente,0
,1,010-020-03-02,1,,Inativo,,Armazenagem,,,ALTURA PADRAO PALETE,0,,,,2024-08-22 08:46:13,Cancelado,3
,1,010-020-04-01,1,,Bloq.Invent.,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,INVENTARIO,,2025-01-06 16:55:57,Pendente,3
,1,010-020-04-02,1,,Uso,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,2025-01-04 08:41:07,Contado,2
,1,010-020-05-01,1,,Uso,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,2025-01-04 10:18:59,Contado,3
,1,010-020-05-02,1,,Bloq.Invent.,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,INVENTARIO,,2025-01-08 08:27:11,Pendente,9
,1,010-020-06-01,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-020-06-02,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-020-07-01,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-020-07-02,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-020-08-01,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-020-08-02,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-022-03-02,1,,Inativo,,Armazenagem,,,ALTURA PADRAO PALETE,0,,,,,Pendente,0
,1,010-022-04-01,1,,Uso,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,2025-01-04 08:41:07,Contado,4
,1,010-022-04-02,1,,Uso,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,2025-01-04 08:41:07,Contado,8
,1,010-022-05-01,1,,Bloq.Invent.,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,INVENTARIO,,2025-01-06 16:55:57,Pendente,10
,1,010-022-05-02,1,,Uso,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,2025-01-04 10:19:00,Contado,3
,1,010-022-06-01,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-022-06-02,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-022-07-01,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-022-07-02,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-022-08-01,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-022-08-02,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-024-03-01,1,,Inativo,,Armazenagem,,,ALTURA PADRAO PALETE,0,,,,,Pendente,0
,1,010-024-03-02,1,,Inativo,,Armazenagem,,,ALTURA PADRAO PALETE,0,,,,2024-01-30 10:26:05,Cancelado,1
,1,010-024-04-01,1,,Uso,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,2025-01-04 08:41:08,Contado,5
,1,010-024-04-02,1,,Uso,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,2025-01-04 08:41:08,Contado,4
,1,010-024-05-01,1,,Uso,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,2025-01-04 10:19:00,Contado,2
,1,010-024-05-02,1,,Uso,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,2025-01-04 10:19:00,Contado,2
,1,010-024-06-01,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-024-06-02,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-024-07-01,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-024-07-02,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-024-08-01,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-024-08-02,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-026-03-02,1,,Inativo,,Armazenagem,,,ALTURA PADRAO PALETE,0,,,,,Pendente,0
,1,010-026-04-01,1,,Uso,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,2025-01-04 09:28:18,Contado,9
,1,010-026-04-02,1,,Uso,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,2025-01-04 08:41:08,Contado,11
,1,010-026-05-01,1,,Uso,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,2025-01-04 10:19:00,Contado,2
,1,010-026-05-02,1,,Uso,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,2025-01-04 10:19:00,Contado,2
,1,010-026-06-01,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-026-06-02,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-026-07-01,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-026-07-02,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-026-08-01,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-026-08-02,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-028-03-01,1,,Inativo,,Armazenagem,,,ALTURA PADRAO PALETE,0,,,,,Pendente,0
,1,010-028-03-02,1,,Inativo,,Armazenagem,,,ALTURA PADRAO PALETE,0,,,,2024-01-23 15:37:10,Cancelado,3
,1,010-028-04-01,1,,Uso,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,2025-01-04 08:41:08,Contado,5
,1,010-028-04-02,1,,Uso,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,2025-01-04 08:41:08,Contado,5
,1,010-028-05-01,1,,Uso,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,2025-01-04 10:19:00,Contado,2
,1,010-028-05-02,1,,Uso,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,2025-01-04 10:19:00,Contado,5
,1,010-028-06-01,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-028-06-02,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-028-07-01,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-028-07-02,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-028-08-01,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-028-08-02,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-030-03-01,1,,Inativo,,Armazenagem,,,ALTURA PADRAO PALETE,0,,,,2023-05-02 08:52:22,Cancelado,1
,1,010-030-03-02,1,,Inativo,,Armazenagem,,,ALTURA PADRAO PALETE,0,,,,2024-02-23 13:54:00,Cancelado,3
,1,010-030-04-01,1,,Uso,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,2025-01-04 08:41:08,Contado,6
,1,010-030-04-02,1,,Uso,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,2025-01-04 08:41:08,Contado,5
,1,010-030-05-01,1,,Uso,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,2025-01-04 10:19:00,Contado,5
,1,010-030-05-02,1,,Uso,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,2025-01-04 10:19:00,Contado,8
,1,010-030-06-01,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-030-06-02,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-030-07-01,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-030-07-02,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-030-08-01,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-030-08-02,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-032-03-01,1,,Inativo,,Armazenagem,,,ALTURA PADRAO PALETE,0,,,,2023-05-03 10:20:53,Cancelado,1
,1,010-032-03-02,1,,Inativo,,Armazenagem,,,ALTURA PADRAO PALETE,0,,,,2024-02-21 14:23:02,Cancelado,2
,1,010-032-04-01,1,,Uso,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,2025-01-04 09:28:18,Contado,5
,1,010-032-04-02,1,,Uso,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,2025-01-04 09:28:18,Contado,4
,1,010-032-05-01,1,,Bloq.Invent.,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,INVENTARIO,,2025-01-06 16:55:57,Pendente,10
,1,010-032-05-02,1,,Uso,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,2025-01-04 10:19:01,Contado,8
,1,010-032-06-01,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-032-06-02,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-032-07-01,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-032-07-02,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-032-08-01,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-032-08-02,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-034-03-01,1,,Inativo,,Armazenagem,,,ALTURA PADRAO PALETE,0,,,,2024-01-22 16:17:04,Cancelado,3
,1,010-034-03-02,1,,Inativo,,Armazenagem,,,ALTURA PADRAO PALETE,0,,,,2024-08-22 08:46:13,Cancelado,3
,1,010-034-04-01,1,,Uso,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,2025-01-04 09:28:18,Contado,4
,1,010-034-04-02,1,,Uso,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,2025-01-04 09:28:18,Contado,5
,1,010-034-05-01,1,,Uso,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,2025-01-04 10:19:01,Contado,6
,1,010-034-05-02,1,,Uso,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,2025-01-04 10:19:01,Contado,7
,1,010-034-06-01,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-034-06-02,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-034-07-01,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-034-07-02,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-034-08-01,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-034-08-02,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-036-03-01,1,,Inativo,,Armazenagem,,,ALTURA PADRAO PALETE,0,,,,2023-05-02 08:52:22,Cancelado,1
,1,010-036-03-02,1,,Inativo,,Armazenagem,,,ALTURA PADRAO PALETE,0,,,,2024-08-22 08:46:13,Cancelado,4
,1,010-036-04-01,1,,Uso,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,2025-01-04 09:28:18,Contado,7
,1,010-036-04-02,1,,Uso,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,2025-01-04 08:41:08,Contado,9
,1,010-036-05-01,1,,Uso,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,2025-01-04 10:19:01,Contado,6
,1,010-036-05-02,1,,Uso,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,2025-01-04 10:19:01,Contado,6
,1,010-036-06-01,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-036-06-02,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-036-07-01,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-036-07-02,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-036-08-01,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-036-08-02,1,,Inativo,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,,Pendente,0
,1,010-038-03-01,1,,Inativo,,Armazenagem,,,ALTURA PADRAO PALETE,0,,,,2023-05-02 08:52:23,Cancelado,1
,1,010-038-03-02,1,,Inativo,,Armazenagem,,,ALTURA PADRAO PALETE,0,,,,2023-05-03 10:20:53,Cancelado,1
,1,010-038-04-01,1,,Uso,,Armazenagem,,,ALTURA MAIOR PADRAO,0,,,,2025-01-04 09:28:19,Contado,7
