Código,Descrição,Curva Frac,Curva Cx,Curva Geral,Qtde Venda Frac,Qtde Venda Cx,Qtde Venda Geral,Dias Pedido Frac,Dias Pedido Cx,Dias Pedido Geral,Ativ.Ressupr.Frac,Ativ.Ressupr.Cx,Ativ.Ressupr.Geral,Média por dia frac,Média por dia cx,Média por dia geral,Estoque Armaz.,Ender.Cx.Fech.,Estoque Cx,Capacidade Cx,Embal.,Estoque Frac,Capacidade Frac,Permite Frac.,Ender.Frac.,Tipo,Qtde Desvio Picking,local
10177.0,NIMESULIDA 100MG C/ 12COMP,A,A,A,15104.0,36.0,18560.0,81.0,15.0,81.0,69.0,44.0,69.0,186.4691,2.4,229.13580000000002,26.0,014-036-02-01,0,9.0,96.0,231.0,450.0,Não,29.074,Flowrack,489.0,apanha_a
232068.0,DORILEN C/12 COMP,A,A,A,13872.0,89.0,18144.0,94.0,16.0,94.0,99.0,47.0,99.0,147.5745,5.5625,193.0213,0.0,014-038-02-01,0,25.0,48.0,0.0,332.0,Não,29.023,Flowrack,1581.0,apanha_a
232028.0,NATUS GERIN C/50 CAPS,A,A,A,13517.0,77.0,17367.0,101.0,17.0,101.0,249.0,109.0,249.0,133.8317,4.5294,171.9505,0.0,014-040-01-01,0,8.0,50.0,0.0,100.0,Não,29.014,Flowrack,2086.0,apanha_a
10773.0,PARACETAMOL+CLOR PSEUD C/ 24COMP,A,A,A,13500.0,44.0,15612.0,102.0,18.0,102.0,86.0,54.0,86.0,132.3529,2.4444,153.05880000000002,64.0,014-006-01-01,6,16.0,48.0,131.0,288.0,Não,24.083,Flowrack,1599.0,apanha_a
10592.0,HIDROCLOROTIAZIDA 25MG C/ 30CP,A,A,A,12426.0,88.0,19818.0,64.0,17.0,65.0,89.0,70.0,89.0,194.15630000000002,5.1765,304.89230000000003,45.0,015-003-01-01,0,8.0,84.0,111.0,252.0,Não,25.082,Flowrack,433.0,apanha_a
106005.0,NARIDRIN ADULTO FR C/15ML,A,A,A,12274.0,37.0,15974.0,95.0,11.0,95.0,64.0,39.0,64.0,129.2,3.3636000000000004,168.1474,23.0,014-038-01-01,4,8.0,100.0,470.0,400.0,Não,21.083,Flowrack,1414.0,apanha_a
10203.0,CEFALEXINA 500MG (AM) C/ 10COMP,A,A,A,12081.0,60.0,14961.0,99.0,22.0,100.0,90.0,53.0,90.0,122.03030000000001,2.7273,149.61,0.0,016-017-01-01,0,15.0,48.0,0.0,384.0,Não,20.013,Flowrack,772.0,antibiotico
232487.0,REPOFLOR 250MG FR C/10 CAP DURA,A,A,A,11620.0,26.0,14220.0,96.0,11.0,96.0,91.0,63.0,91.0,121.0417,2.3636,148.125,4.0,014-040-01-02,6,6.0,100.0,316.0,300.0,Não,26.064,Flowrack,1135.0,apanha_a
11386.0,CLOR METILFENIDATO (A3)** 10MG C/30,A,A,A,11135.0,117.0,18155.0,94.0,27.0,95.0,44.0,38.0,44.0,118.4574,4.3333,191.1053,0.0,018-008-01-01,0,10.0,60.0,0.0,600.0,Não,11.905,Ponta De G,722.0,controlado
102322.0,"CLOPE 3,54MG/ML XPE 120ML",A,A,A,11060.0,45.0,13760.0,71.0,11.0,71.0,80.0,18.0,80.0,155.77460000000002,4.0909,193.80280000000002,339.0,016-041-01-01,2,3.0,60.0,138.0,240.0,Não,25.085,Flowrack,1885.0,pallet
12617.0,PARACETAMOL+CLOR PSEUD C/ 24COMP,A,A,A,10839.0,45.0,12999.0,80.0,18.0,80.0,47.0,35.0,47.0,135.4875,2.5,162.4875,0.0,015-021-01-01,0,15.0,48.0,0.0,332.0,Não,25.081,Flowrack,690.0,apanha_a
11485.0,BUDESONIDA 32MCG SPRAY NASAL,A,A,A,10793.0,16.0,11753.0,103.0,7.0,103.0,63.0,39.0,63.0,104.7864,2.2857000000000003,114.1068,29.0,014-026-02-02,20,20.0,60.0,284.0,420.0,Não,29.082,Flowrack,1253.0,apanha_a
102058.0,NOCICLIN C/21 COMP,A,A,A,10174.0,79.0,13966.0,101.0,22.0,101.0,99.0,68.0,99.0,100.73270000000001,3.5909,138.2772,153.0,014-036-01-01,6,8.0,48.0,153.0,250.0,Não,26.054,Flowrack,1335.0,apanha_a
106007.0,OTOMIXYN  (AM) GOTAS FR 5ML,A,B,A,9688.0,4.0,10168.0,88.0,2.0,88.0,75.0,24.0,75.0,110.0909,2.0,115.5455,31.0,016-025-01-01,1,6.0,120.0,282.0,300.0,Não,21.052,Flowrack,790.0,antibiotico
101066.0,CELERGIN XPE 120ML,A,A,A,9115.0,22.0,10435.0,94.0,8.0,94.0,76.0,77.0,76.0,96.9681,2.75,111.01060000000001,38.0,014-032-01-02,3,6.0,60.0,232.0,240.0,Não,26.015,Flowrack,1136.0,apanha_a
102111.0,ENDCOFF MEL E LIMAO C/ 12PAST,A,A,A,8898.0,46.0,11198.0,101.0,13.0,101.0,135.0,64.0,135.0,88.099,3.5385,110.8713,32.0,015-031-01-01,10,10.0,50.0,97.0,150.0,Não,29.013,Flowrack,1158.0,apanha_a
102036.0,VITAFER 109MG C/ 50COMP,A,A,A,8726.0,13.0,10286.0,73.0,8.0,73.0,39.0,38.0,39.0,119.53420000000001,1.625,140.9041,0.0,014-036-01-02,0,5.0,120.0,72.0,240.0,Não,25.013,Flowrack,1813.0,apanha_a
102092.0,ENDCOFF MENTA C/ 12PAST,A,A,A,8724.0,44.0,10924.0,97.0,8.0,97.0,133.0,62.0,133.0,89.9381,5.5,112.6186,36.0,014-010-01-01,1,7.0,50.0,109.0,150.0,Não,21.063,Flowrack,1121.0,apanha_a
231957.0,CENEVIT ZINCO 1G+10MG C/ 10CP EFR,A,A,A,8602.0,111.0,15262.0,92.0,25.0,92.0,76.0,23.0,76.0,93.5,4.44,165.8913,305.0,014-008-02-02,27,30.0,60.0,142.0,180.0,Não,28.083,Flowrack,297.0,apanha_a
10018.0,NEOMICINA+BACITRACINA POM 15G,A,A,A,8320.0,15.0,9160.0,87.0,9.0,87.0,72.0,16.0,72.0,95.63220000000001,1.6667,105.2874,0.0,014-018-02-02,0,20.0,56.0,0.0,200.0,Não,21.072,Flowrack,766.0,apanha_a
101574.0,BENZIFLEX LIS 125MG+5MG C/ 15COMP REV,A,A,A,8088.0,74.0,11640.0,61.0,13.0,61.0,54.0,42.0,54.0,132.5902,5.6923,190.8197,0.0,014-036-02-02,0,7.0,48.0,0.0,336.0,Não,29.073,Flowrack,787.0,apanha_a
102141.0,CELERGIN C/ 20COMP,A,A,A,7903.0,27.0,9523.0,96.0,7.0,96.0,69.0,29.0,69.0,82.3229,3.8571,99.1979,14.0,014-034-02-02,15,15.0,60.0,181.0,240.0,Não,22.073,Flowrack,1270.0,apanha_a
10198.0,DEXCL+BETA XPE 120ML,A,A,A,7696.0,15.0,8596.0,95.0,12.0,95.0,64.0,42.0,64.0,81.01050000000001,1.25,90.4842,9.0,015-039-01-01,1,7.0,60.0,235.0,240.0,Não,28.066,Flowrack,571.0,apanha_a
102346.0,ALLEXOFEDRIN PED 6MG/ML SUSP   60ML,A,A,A,7614.0,63.0,9189.0,100.0,14.0,100.0,122.0,4.0,122.0,76.14,4.5,91.89,192.0,016-041-01-02,22,3.0,25.0,122.0,150.0,Não,29.909,Ponta De G,1208.0,pallet
10161.0,PARACETAMOL 750MG C/ 20COMP,A,A,A,7563.0,44.0,9675.0,87.0,15.0,87.0,52.0,34.0,52.0,86.931,2.9333,111.2069,0.0,015-025-01-02,0,12.0,48.0,0.0,384.0,Não,21.074,Flowrack,721.0,apanha_a
412772.0,TADALAFILA 5MG C/ 30COMP,A,,A,7466.0,,7466.0,65.0,,65.0,133.0,,133.0,114.8615,,114.8615,0.0,014-022-01-01,0,3.0,90.0,0.0,180.0,Sim,23.033,Flowrack,855.0,apanha_a
101819.0,SUPLEVIT MULHER C/ 60CAPS GEL,A,A,A,7287.0,199.0,12262.0,99.0,32.0,99.0,140.0,71.0,140.0,73.6061,6.2188,123.85860000000001,129.0,015-015-01-01,9,16.0,25.0,61.0,100.0,Não,29.052,Flowrack,1103.0,apanha_a
10939.0,ROSUVASTATINA CALCICA 20MG C/ 30COMP,A,A,A,7250.0,38.0,9378.0,60.0,7.0,60.0,78.0,16.0,78.0,120.83330000000001,5.4286,156.3,0.0,015-007-01-02,0,26.0,56.0,0.0,168.0,Não,20.083,Flowrack,426.0,apanha_a
110286.0,HISTAMIN 2MG C/ 20COMP,A,B,A,6421.0,3.0,6601.0,93.0,3.0,93.0,71.0,42.0,71.0,69.043,1.0,70.9785,134.0,014-018-01-02,1,4.0,60.0,141.0,180.0,Não,22.054,Flowrack,840.0,apanha_a
231166.0,SUAVICID CRM C/ 15GR,A,A,A,6407.0,15.0,7247.0,94.0,5.0,94.0,59.0,65.0,59.0,68.1596,3.0,77.09570000000001,43.0,014-006-02-01,3,5.0,56.0,253.0,280.0,Não,25.083,Flowrack,1374.0,apanha_a
232411.0,NEXFLEN 550MG C/ 10COMP,A,A,A,6281.0,22.0,7337.0,90.0,6.0,90.0,65.0,38.0,65.0,69.7889,3.6667,81.5222,79.0,014-032-01-02,2,8.0,48.0,36.0,192.0,Não,25.034,Flowrack,501.0,apanha_a
11314.0,TADALAFILA 20MG C/ 4COMP,A,A,A,6157.0,15.0,7597.0,66.0,12.0,66.0,83.0,22.0,83.0,93.28790000000001,1.25,115.10610000000001,110.0,014-026-01-02,7 (+70 fr),10.0,96.0,181.0,300.0,Sim,20.023,Flowrack,224.0,apanha_a
132780.0,NEOSORO AD C/ 30ML,A,A,A,5991.0,318.0,25071.0,78.0,42.0,79.0,39.0,75.0,39.0,76.8077,7.571400000000001,317.3544,0.0,015-025-01-01,0,10.0,60.0,0.0,360.0,Não,22.033,Flowrack,355.0,apanha_a
10947.0,ROSUVASTATINA CALCICA 10MG C/ 30COMP,A,A,A,5926.0,26.0,7174.0,80.0,9.0,80.0,42.0,44.0,42.0,74.075,2.8889,89.67500000000001,34.0,015-033-01-02,2,6.0,48.0,305.0,332.0,Não,27.023,Flowrack,491.0,apanha_a
239018.0,REPOFLOR 200MG C/ 4SACHES,A,A,A,5881.0,79.0,10621.0,90.0,9.0,90.0,49.0,31.0,49.0,65.34440000000001,8.777800000000001,118.0111,0.0,015-007-01-01,0,8.0,60.0,3.0,240.0,Não,22.014,Flowrack,972.0,apanha_a
11964.0,DIPIRONA MONOID. 1G C/10 COMP,A,A,A,5870.0,44.0,8334.0,50.0,7.0,50.0,48.0,4.0,48.0,117.4,6.2857,166.68,0.0,016-043-01-01,0,25.0,56.0,0.0,280.0,Não,25.023,Flowrack,252.0,pallet
10944.0,ATORVASTATINA 40MG C/ 30COMP,A,A,A,5854.0,103.0,8635.0,87.0,18.0,87.0,185.0,84.0,185.0,67.2874,5.7222,99.25290000000001,8.0,015-011-01-02,8,10.0,27.0,12.0,54.0,Não,28.061,Flowrack,907.0,apanha_a
138267.0,TORSILAX C/ 12 COMP,A,B,A,5804.0,2.0,5924.0,76.0,2.0,76.0,74.0,44.0,74.0,76.36840000000001,1.0,77.9474,0.0,014-028-01-02,0,5.0,60.0,12.0,180.0,Não,20.054,Flowrack,829.0,apanha_a
231048.0,CELERG XPE 120ML,A,B,A,5622.0,9.0,6162.0,87.0,5.0,87.0,65.0,28.0,65.0,64.6207,1.8,70.8276,22.0,014-042-01-01,10,10.0,60.0,93.0,180.0,Não,25.075,Flowrack,417.0,apanha_a
11312.0,TADALAFILA 5MG C/ 30COMP,A,A,A,5596.0,14.0,6436.0,82.0,6.0,82.0,56.0,37.0,56.0,68.2439,2.3333,78.48780000000001,0.0,010-032-02-01,0,5.0,60.0,0.0,180.0,Não,27.043,Flowrack,509.0,prateleira
232501.0,CENEVIT TRIPLA ACAO 30 CPR EFER S.A-L,A,A,A,5550.0,49.0,7510.0,75.0,16.0,75.0,87.0,38.0,87.0,74.0,3.0625,100.1333,107.0,015-025-01-01,12,12.0,40.0,85.0,80.0,Não,26.043,Flowrack,166.0,apanha_a
11026.0,ENALAPRIL 10MG 30CP,A,A,A,5503.0,99.0,10255.0,72.0,22.0,73.0,24.0,41.0,24.0,76.4306,4.5,140.4795,67.0,014-032-01-01,7,8.0,48.0,120.0,336.0,Não,20.062,Flowrack,237.0,apanha_a
10039.0,DIPIRONA SOD 20ML,A,A,A,5396.0,38.0,9956.0,56.0,6.0,56.0,28.0,12.0,28.0,96.3571,6.3333,177.78570000000002,0.0,014-034-01-02,0,12.0,120.0,12.0,240.0,Não,26.034,Flowrack,161.0,apanha_a
10248.0,ATENOLOL 25MG C/ 30COMP,A,A,A,5391.0,56.0,10095.0,79.0,13.0,80.0,33.0,54.0,33.0,68.2405,4.3077000000000005,126.1875,34.0,014-032-02-02,2,6.0,84.0,247.0,332.0,Não,21.064,Flowrack,284.0,apanha_a
14421.0,ATENOLOL 50MG C/ 30COMP,A,A,A,5321.0,24.0,6473.0,77.0,1.0,77.0,31.0,31.0,31.0,69.10390000000001,24.0,84.06490000000001,0.0,014-026-01-02,0,5.0,48.0,0.0,336.0,Não,23.073,Flowrack,668.0,apanha_a
412780.0,TADALAFILA 20MG C/ 4COMP,A,B,A,5268.0,1.0,5368.0,72.0,1.0,72.0,85.0,21.0,85.0,73.1667,1.0,74.5556,3.0,014-014-01-02,9 (+79 fr),10.0,100.0,34.0,100.0,Sim,21.413,Prateleira,653.0,apanha_a
10037.0,CETOCONAZOL 20MG CREME C/30GR,A,B,A,5199.0,4.0,5367.0,70.0,3.0,70.0,54.0,21.0,54.0,74.2714,1.3333000000000002,76.6714,39.0,015-039-01-02,6,12.0,42.0,23.0,180.0,Não,28.032,Flowrack,824.0,apanha_a
231933.0,LACTULIV 667MG/ML SOL AMEIXA 120ML,A,B,A,5191.0,2.0,5311.0,92.0,1.0,92.0,45.0,43.0,45.0,56.4239,2.0,57.728300000000004,0.0,014-018-01-01,0,5.0,60.0,0.0,240.0,Não,25.065,Flowrack,1063.0,apanha_a
37360.0,"NARATRIPTANA 2,5MG C/ 10COMP",A,A,A,5055.0,13.0,5835.0,77.0,8.0,77.0,113.0,25.0,113.0,65.6494,1.625,75.7792,4.0,017-002-01-01,7 (+25 fr),12.0,60.0,308.0,360.0,Sim,29.076,Flowrack,408.0,apanha_c
232122.0,REPOPIL C/ 21 CPDS REV,A,A,A,5051.0,37.0,6827.0,89.0,12.0,89.0,51.0,38.0,51.0,56.7528,3.0833,76.70790000000001,72.0,015-021-01-01,8,8.0,48.0,187.0,297.0,Não,22.072,Flowrack,703.0,apanha_a
102262.0,DORICIN 3BLT C/12 COMPRIMIDOS-,A,A,A,5014.0,152.0,13526.0,90.0,25.0,90.0,69.0,29.0,69.0,55.7111,6.08,150.2889,0.0,015-023-01-02,4,8.0,56.0,71.0,140.0,Não,26.032,Flowrack,459.0,apanha_a
11589.0,AZITROMICINA 500MG (AM) C/ 5COMP,A,A,A,4969.0,21.0,6229.0,57.0,8.0,57.0,35.0,21.0,35.0,87.17540000000001,2.625,109.28070000000001,19.0,016-009-01-02,9,15.0,60.0,292.0,300.0,Não,26.033,Flowrack,557.0,antibiotico
10425.0,AAS 100MG C/ 30COMP,A,B,A,4961.0,9.0,5717.0,87.0,4.0,88.0,111.0,17.0,111.0,57.023,2.25,64.9659,37.0,015-027-01-02,8 (+22 fr),10.0,84.0,156.0,252.0,Sim,20.084,Flowrack,337.0,apanha_a
10482.0,"DEXAMETASONA 4,0MG C/ 10CP",A,B,A,4875.0,7.0,5547.0,46.0,2.0,46.0,22.0,19.0,22.0,105.9783,3.5,120.587,0.0,015-021-01-02,1,6.0,96.0,132.0,300.0,Não,25.044,Flowrack,233.0,apanha_a
14302.0,ENALAPRIL 10MG 30CP LEG-GEN,A,A,A,4761.0,282.0,18297.0,66.0,45.0,68.0,55.0,73.0,55.0,72.13640000000001,6.2667,269.0735,205.0,014-018-02-01,21,9.0,48.0,198.0,144.0,Não,22.021,Flowrack,282.0,apanha_a
10943.0,ATORVASTATINA 20MG C/ 30COMP,A,A,A,4758.0,25.0,6158.0,78.0,3.0,78.0,42.0,21.0,42.0,61.0,8.333300000000001,78.9487,2.0,014-006-02-01,6,10.0,56.0,238.0,224.0,Não,21.061,Flowrack,592.0,apanha_a
232069.0,REPOFLOR 100MG C/ 12CAPS,A,A,A,4677.0,38.0,8477.0,95.0,3.0,95.0,33.0,22.0,33.0,49.2316,12.6667,89.2316,9.0,015-039-01-01,8,10.0,100.0,169.0,300.0,Não,26.063,Flowrack,684.0,apanha_a
103008.0,EMISTIN CREME 20GR,A,A,A,4668.0,15.0,5508.0,93.0,9.0,93.0,43.0,29.0,43.0,50.1935,1.6667,59.2258,30.0,014-016-02-02,5,10.0,56.0,194.0,224.0,Não,28.084,Flowrack,1016.0,apanha_a
10552.0,"MALEATO TIMOLOL 0,5% SOL 5ML",A,B,A,4631.0,5.0,5131.0,66.0,2.0,66.0,43.0,37.0,43.0,70.1667,2.5,77.7424,0.0,015-007-01-01,0,3.0,100.0,0.0,122.0,Não,22.071,Flowrack,426.0,apanha_a
101818.0,SUPLEVIT MULHER C/ 30CAPS GEL,A,A,A,4605.0,17.0,5625.0,94.0,8.0,94.0,74.0,35.0,74.0,48.9894,2.125,59.8404,37.0,015-035-01-02,8,8.0,60.0,63.0,120.0,Não,22.074,Flowrack,629.0,apanha_a
101368.0,NIMESILAM 100MG C/ 12COMP,A,A,A,4554.0,14.0,5898.0,86.0,14.0,86.0,36.0,16.0,36.0,52.953500000000005,1.0,68.5814,0.0,015-005-01-01,0,12.0,96.0,0.0,282.0,Não,29.022,Flowrack,337.0,apanha_a
10105.0,HIDROXIDO ALUMINIO SUSP 240ML GEN,A,A,A,4553.0,47.0,6198.0,92.0,11.0,92.0,62.0,1.0,62.0,49.4891,4.2727,67.3696,2.0,016-039-01-01,43,3.0,35.0,20.0,140.0,Não,22.903,Ponta De G,444.0,pallet
102318.0,GEROVITAL C/ 30CAPS,A,B,A,4496.0,12.0,5144.0,97.0,6.0,97.0,79.0,45.0,79.0,46.350500000000004,2.0,53.0309,42.0,015-011-01-01,3,5.0,54.0,108.0,108.0,Não,24.082,Flowrack,949.0,apanha_a
10538.0,ACETILCISTEINA 600MG 16ENV 5G,A,B,A,4480.0,8.0,4768.0,87.0,5.0,87.0,45.0,34.0,45.0,51.4943,1.6,54.8046,117.0,014-028-01-02,2,6.0,36.0,109.0,146.0,Não,29.012,Flowrack,471.0,apanha_a
10581.0,ALENDRONATO DE SODIO 70MG C/ 4COMP,A,B,A,4477.0,7.0,5149.0,79.0,5.0,79.0,16.0,14.0,16.0,56.6709,1.4000000000000001,65.1772,28.0,015-041-01-02,5,5.0,96.0,323.0,420.0,Não,28.041,Flowrack,316.0,apanha_a
231963.0,REPOFLOR 250MG C/10 SACHES,A,A,A,4370.0,20.0,5570.0,93.0,6.0,93.0,68.0,24.0,68.0,46.989200000000004,3.3333000000000004,59.892500000000005,0.0,014-014-02-01,2,7.0,60.0,28.0,120.0,Não,27.013,Flowrack,651.0,apanha_a
10227.0,SIMETICONA  75MG/ML FR C/ 15ML,A,A,A,4315.0,15.0,6115.0,66.0,3.0,66.0,26.0,14.0,26.0,65.3788,5.0,92.6515,4.0,014-010-01-02,5,5.0,120.0,227.0,300.0,Não,26.074,Flowrack,291.0,apanha_a
102018.0,EMISTIN 20COMP,A,B,A,4270.0,6.0,4558.0,59.0,4.0,59.0,15.0,16.0,15.0,72.3729,1.5,77.2542,22.0,015-031-01-02,10,10.0,48.0,25.0,336.0,Não,25.074,Flowrack,540.0,apanha_a
10433.0,NISTATINA+OXIDO ZINCO POM 60G,A,A,A,4260.0,50.0,7060.0,69.0,13.0,69.0,121.0,40.0,121.0,61.7391,3.8462,102.31880000000001,0.0,014-024-01-02,0,5.0,56.0,0.0,112.0,Sim,22.064,Flowrack,207.0,apanha_a
11095.0,PREDNISOLONA 20MG C/ 10COMP,A,A,A,4240.0,16.0,5584.0,79.0,4.0,81.0,41.0,17.0,41.0,53.6709,4.0,68.9383,0.0,015-035-01-02,7,10.0,84.0,157.0,191.0,Não,25.014,Flowrack,240.0,apanha_a
103020.0,EMSCORT CREME 30GR,A,B,A,4107.0,6.0,4359.0,95.0,4.0,95.0,72.0,23.0,72.0,43.2316,1.5,45.8842,9.0,015-017-01-01,13,15.0,42.0,146.0,126.0,Não,26.024,Flowrack,712.0,apanha_a
130076.0,TORSILAX C/ 30 COMP,A,,A,4083.0,,4083.0,82.0,,82.0,29.0,,29.0,49.7927,,49.7927,3.0,014-028-02-02,0,4.0,60.0,0.0,300.0,Não,22.016,Flowrack,645.0,apanha_a
12513.0,ALENDRONATO DE SODIO 70MG C/ 4COMP,A,B,A,3974.0,8.0,4742.0,64.0,3.0,64.0,89.0,34.0,89.0,62.0938,2.6667,74.0938,7.0,010-012-02-01,0 (+72 fr),2.0,96.0,62.0,96.0,Sim,25.572,Prateleira,285.0,apanha_b
231292.0,IBUFLEX 400MG C/ 8 CAPS GEL,A,A,A,3915.0,15.0,4635.0,91.0,7.0,91.0,41.0,27.0,41.0,43.022000000000006,2.1429,50.9341,8.0,014-042-02-02,4,10.0,48.0,5.0,192.0,Não,21.032,Flowrack,386.0,apanha_a
431005.0,ENXAK  C/ 12COMP,A,C,A,3901.0,0.0,3901.0,88.0,0.0,88.0,51.0,17.0,51.0,44.3295,0.0,44.3295,13.0,010-036-02-01,0,2.0,160.0,152.0,320.0,Sim,23.041,Flowrack,768.0,prateleira
32576.0,ALLOVITA 50MG SOL CAPILAR FR 50ML,A,B,A,3868.0,4.0,4028.0,92.0,2.0,92.0,347.0,88.0,347.0,42.0435,2.0,43.7826,0.0,010-018-01-01,0,5.0,40.0,6.0,32.0,Sim,24.104,Flowrack,607.0,apanha_b
102256.0,ALLEXOFEDRIN 120MG C/ 10COM REV-,A,B,A,3739.0,11.0,4267.0,97.0,5.0,97.0,29.0,27.0,29.0,38.5464,2.2,43.9897,23.0,014-020-01-02,8,8.0,48.0,389.0,384.0,Não,22.053,Flowrack,748.0,apanha_a
10370.0,ESPIRONOLACTONA 25MG 30COMP,A,B,A,3708.0,6.0,4212.0,76.0,3.0,77.0,27.0,24.0,27.0,48.789500000000004,2.0,54.7013,16.0,014-028-01-02,2,4.0,84.0,246.0,332.0,Não,21.043,Flowrack,300.0,apanha_a
