,Ordem,Código,Descrição,Curva Frac,Curva Cx,Curva Geral,Qtde Venda Frac,Qtde Venda Cx,Qtde Venda Geral,Dias Pedido Frac,Dias Pedido Cx,Dias Pedido Geral,Ativ.Ressupr.Frac,Ativ.Ressupr.Cx,Ativ.Ressupr.Geral,Média por dia frac,Média por dia cx,Média por dia geral,Estoque Armaz.,Ender.Cx.Fechada,Estoque Cx,Capacidade Cx,Embal.,Estoque Frac,Capacidade Frac,Permite Frac.,Ender.Fracionado,Tipo,Qtde Desvio Picking,local
11,12,236003,BISMU-JET GOTAS 20ML,A,A,A,64792.0,167.0,81492.0,268.0,34.0,268.0,517.0,246.0,517.0,241.7612,4.9118,304.0746,81.0,015-039-01-02,10,10.0,100.0,251.0,400.0,Não,22.042,Flowrack,2700.0,apanha_a
12,13,102382,COMPLEXO B FR C/100 COMP REV,A,A,A,56967.0,55.0,63567.0,262.0,24.0,262.0,455.0,189.0,455.0,217.4313,2.2917,242.6221,25.0,014-022-01-02,8,8.0,120.0,178.0,120.0,Não,22.043,Flowrack,2670.0,apanha_a
13,14,102346,ALLEXOFEDRIN PED 6MG/ML SUSP   60ML,A,A,A,56615.0,853.0,77940.0,253.0,117.0,254.0,802.0,228.0,802.0,223.7747,7.2906,306.8504,1324.0,016-041-01-02,23,3.0,25.0,65.0,150.0,Não,29.909,Ponta De G,1224.0,pallet
14,15,102384,COMPLEXO B12 FR C/20 COMP REV,A,A,A,49607.0,147.0,64307.0,251.0,66.0,251.0,405.0,156.0,405.0,197.6375,2.2273,256.2032,0.0,015-025-01-01,8,12.0,100.0,182.0,300.0,Não,21.084,Flowrack,1912.0,apanha_a
15,16,102062,GEROVITAL C/ 60CAPS,A,A,A,48280.0,393.0,67930.0,269.0,80.0,270.0,835.0,307.0,835.0,179.4796,4.912500000000001,251.5926,0.0,015-041-01-01,0,16.0,50.0,22.0,100.0,Não,25.064,Flowrack,2661.0,apanha_a
16,17,106007,OTOMIXYN  (AM) GOTAS FR C/5ML,A,A,A,48163.0,100.0,60163.0,230.0,41.0,230.0,373.0,215.0,373.0,209.4043,2.439,261.5783,115.0,016-019-01-01,5,6.0,120.0,0.0,300.0,Não,21.052,Flowrack,1085.0,antibiotico
17,18,106005,NARIDRIN ADULTO FR C/15ML,A,A,A,46442.0,131.0,59542.0,265.0,47.0,265.0,359.0,172.0,359.0,175.2528,2.7872,224.6868,96.0,014-034-02-02,10,12.0,100.0,174.0,300.0,Não,21.083,Flowrack,1000.0,apanha_a
18,19,102092,ENDCOFF MENTA C/ 12PAST,A,A,A,43550.0,182.0,52650.0,253.0,44.0,253.0,722.0,266.0,722.0,172.1344,4.1364,208.1028,639.0,014-010-01-01,4,7.0,50.0,104.0,150.0,Não,21.063,Flowrack,1025.0,apanha_a
19,20,102111,ENDCOFF MEL E LIMAO C/ 12PAST,A,A,A,43370.0,115.0,49120.0,239.0,45.0,240.0,455.0,259.0,455.0,181.4644,2.5556,204.6667,616.0,015-031-01-01,8,10.0,50.0,90.0,150.0,Não,29.013,Flowrack,1047.0,apanha_a
20,21,102398,SOMINEX COMPOSTO REV C/ 20COMP,A,A,A,42031.0,401.0,61279.0,255.0,38.0,255.0,363.0,236.0,363.0,164.8275,10.5526,240.3098,267.0,015-009-01-02,12,12.0,48.0,158.0,192.0,Não,22.084,Flowrack,1421.0,apanha_a
21,22,11485,BUDESONIDA 32MCG SPRAY NASAL,A,A,A,39912.0,260.0,55512.0,239.0,51.0,239.0,121.0,108.0,121.0,166.9958,5.098,232.2678,9.0,014-026-02-02,15,20.0,60.0,194.0,420.0,Não,29.082,Flowrack,545.0,apanha_a
22,23,11964,DIPIRONA MONOID. 1G C/10 COMP,A,A,A,39086.0,839.0,86070.0,165.0,68.0,165.0,317.0,110.0,317.0,236.8848,12.3382,521.6364,0.0,016-039-01-02,0,15.0,56.0,0.0,150.0,Não,29.072,Flowrack,615.0,pallet
23,24,101066,CELERGIN XPE 120ML,A,A,A,38137.0,127.0,45757.0,262.0,47.0,263.0,360.0,169.0,360.0,145.5611,2.7021,173.981,88.0,014-032-01-02,6,6.0,60.0,161.0,240.0,Não,26.015,Flowrack,642.0,apanha_a
24,25,239018,REPOFLOR 200MG C/ 4SACHES,A,A,A,36891.0,136.0,45051.0,256.0,29.0,256.0,332.0,197.0,332.0,144.1055,4.6897,175.9805,60.0,015-007-01-01,8,8.0,60.0,56.0,133.0,Não,22.014,Flowrack,1273.0,apanha_a
25,26,232068,DORILEN C/12 COMP,A,A,A,34407.0,249.0,46359.0,237.0,40.0,237.0,255.0,221.0,255.0,145.1772,6.225000000000001,195.6076,185.0,015-003-01-02,10,10.0,48.0,297.0,336.0,Não,29.023,Flowrack,1172.0,apanha_a
26,27,101574,BENZIFLEX LIS 125MG+5MG C/ 15COMP REV,A,A,A,34358.0,146.0,41366.0,259.0,51.0,259.0,279.0,246.0,279.0,132.6564,2.8627,159.7143,207.0,014-008-02-02,10,10.0,48.0,276.0,332.0,Não,29.073,Flowrack,1463.0,apanha_a
27,28,10302,LOSARTANA POT 50MG 30CP,A,A,A,33422.0,2480.0,241742.0,104.0,70.0,104.0,180.0,119.0,180.0,321.3654,35.4286,2324.4423,0.0,015-031-01-02,0,15.0,84.0,0.0,332.0,Não,22.013,Flowrack,258.0,apanha_a
28,29,10583,DIPIRONA SOD SOL ORAL 100ML,A,A,A,33211.0,148.0,42091.0,241.0,46.0,241.0,271.0,70.0,271.0,137.805,3.2174,174.6515,0.0,016-033-01-02,9,3.0,60.0,94.0,240.0,Não,21.015,Flowrack,520.0,pallet
29,30,10177,NIMESULIDA 100MG C/ 12COMP,A,A,A,32687.0,152.0,47279.0,197.0,38.0,197.0,164.0,111.0,164.0,165.9239,4.0,239.9949,46.0,015-005-01-01,13,13.0,96.0,412.0,450.0,Não,29.074,Flowrack,521.0,apanha_a
30,31,102141,CELERGIN C/ 20COMP,A,A,A,32415.0,108.0,38895.0,260.0,34.0,260.0,278.0,145.0,278.0,124.6731,3.1765,149.5962,46.0,015-025-01-02,12,15.0,60.0,210.0,240.0,Não,22.073,Flowrack,1024.0,apanha_a
31,32,10105,HIDROXIDO ALUMINIO SUSP 240ML GEN,A,A,A,30516.0,168.0,36396.0,156.0,50.0,156.0,359.0,49.0,359.0,195.6154,3.36,233.3077,196.0,016-039-01-01,51,3.0,35.0,51.0,140.0,Não,22.903,Ponta De G,950.0,pallet
32,33,10248,ATENOLOL 25MG C/ 30COMP,A,A,A,29190.0,138.0,40782.0,152.0,30.0,154.0,193.0,85.0,193.0,192.0395,4.600000000000001,264.8182,44.0,014-028-01-01,15,15.0,84.0,230.0,332.0,Não,21.064,Flowrack,980.0,apanha_a
33,34,231262,EXPEC-TAMIN SOL ORAL 120ML,A,A,A,29174.0,232.0,43094.0,252.0,70.0,252.0,226.0,170.0,226.0,115.7698,3.3143,171.0079,117.0,014-024-01-02,6,6.0,60.0,273.0,240.0,Não,22.015,Flowrack,597.0,apanha_a
34,35,11026,ENALAPRIL 10MG 30CP,A,A,A,29111.0,1432.0,97847.0,190.0,111.0,193.0,255.0,185.0,255.0,153.2158,12.9009,506.9793,127.0,014-026-01-02,16,20.0,48.0,317.0,384.0,Não,20.062,Flowrack,847.0,apanha_a
35,36,231292,IBUFLEX 400MG C/ 8 CAPS GEL,A,A,A,29047.0,342.0,45463.0,226.0,96.0,226.0,296.0,197.0,296.0,128.5265,3.5625,201.1637,333.0,014-036-01-02,9,12.0,48.0,15.0,192.0,Não,21.032,Flowrack,1093.0,apanha_a
36,37,102058,NOCICLIN C/21 COMP,A,A,A,28552.0,181.0,37240.0,266.0,60.0,266.0,286.0,196.0,286.0,107.3383,3.0167,140.0,324.0,015-035-01-01,11,12.0,48.0,128.0,250.0,Não,26.054,Flowrack,1243.0,apanha_a
37,38,102036,VITAFER 109MG C/ 50COMP,A,A,A,25325.0,42.0,30365.0,244.0,17.0,244.0,205.0,100.0,205.0,103.791,2.4706,124.4467,0.0,014-034-01-02,0,8.0,120.0,0.0,0.0,Não,,,1210.0,apanha_a
38,39,231048,CELERG XPE 120ML,A,A,A,25307.0,118.0,32387.0,246.0,43.0,246.0,286.0,118.0,286.0,102.874,2.7442,131.6545,54.0,014-036-01-02,4,6.0,60.0,215.0,180.0,Não,25.075,Flowrack,743.0,apanha_a
39,40,10579,ACETILCISTEINA 20MG/ML XPE 120ML,A,A,A,24967.0,96.0,30727.0,195.0,26.0,195.0,168.0,109.0,168.0,128.0359,3.6923,157.5744,38.0,016-043-01-01,7,6.0,60.0,184.0,240.0,Não,29.085,Flowrack,248.0,pallet
40,41,232411,NEXFLEN 550MG C/ 10COMP,A,A,A,24633.0,239.0,36105.0,207.0,49.0,207.0,598.0,182.0,598.0,119.0,4.8776,174.4203,352.0,015-007-01-01,8,10.0,48.0,82.0,192.0,Não,25.034,Flowrack,1155.0,apanha_a
41,42,10125,AMOX+CLAVUL POT SUSP 250MG (AM) 75ML,A,A,A,24250.0,1086.0,56830.0,182.0,70.0,182.0,366.0,153.0,366.0,133.2418,15.5143,312.2527,29.0,016-023-01-01,8,8.0,30.0,0.0,120.0,Não,23.065,Flowrack,310.0,antibiotico
42,43,10425,AAS 100MG C/ 30COMP,A,A,A,23908.0,55.0,28528.0,237.0,22.0,237.0,309.0,100.0,309.0,100.8776,2.5,120.3713,35.0,015-027-01-02,9 (+29 fr),10.0,84.0,174.0,252.0,Sim,20.084,Flowrack,891.0,apanha_a
43,44,10773,PARACETAMOL+CLOR PSEUD C/24CP,A,A,A,22886.0,70.0,26246.0,252.0,31.0,252.0,167.0,116.0,167.0,90.81750000000001,2.2581,104.1508,0.0,014-006-01-01,0,10.0,48.0,0.0,384.0,Não,24.083,Flowrack,467.0,apanha_a
44,45,10690,AMOX+CLAVUL POT 875+125MG (AM) C/ 14CP,A,A,A,22663.0,80.0,26663.0,89.0,15.0,89.0,111.0,62.0,111.0,254.6404,5.3333,299.5843,0.0,016-027-01-01,0,8.0,50.0,0.0,100.0,Não,25.062,Flowrack,428.0,antibiotico
45,46,10482,"DEXAMETASONA 4,0MG C/ 10CP",A,B,A,22533.0,24.0,24837.0,233.0,10.0,233.0,117.0,102.0,117.0,96.7082,2.4,106.5966,29.0,015-021-01-02,6,6.0,96.0,59.0,384.0,Não,25.013,Flowrack,650.0,apanha_a
46,47,63591,"COMPRESSA HERIKA 13 FIOS 7,5CMX7,5 C/10",A,C,A,22314.0,0.0,22314.0,38.0,0.0,38.0,219.0,18.0,219.0,587.2105,0.0,587.2105,7.0,010-008-01-01,1 (+344 fr),2.0,700.0,50.0,50.0,Sim,24.144,Prateleira,335.0,apanha_b
47,48,11929,CLOR FEXOFENADINA 180MG C/ 10COMP,A,A,A,22152.0,41.0,24120.0,251.0,24.0,251.0,243.0,133.0,243.0,88.25500000000001,1.7083,96.0956,0.0,014-024-02-01,0,10.0,48.0,4.0,192.0,Não,21.013,Flowrack,300.0,apanha_a
48,49,10233,CLORTALIDONA 25MG C/ 60COMP,A,A,A,21582.0,35.0,24522.0,126.0,4.0,126.0,35.0,32.0,35.0,171.2857,8.75,194.619,10.0,014-026-02-02,4,4.0,84.0,177.0,252.0,Não,25.044,Flowrack,377.0,apanha_a
49,50,232069,REPOFLOR 100MG C/ 12CAPS,A,A,A,21422.0,72.0,28622.0,240.0,19.0,240.0,160.0,82.0,160.0,89.2583,3.7895,119.2583,57.0,015-039-01-01,1,1.0,100.0,6.0,300.0,Não,26.063,Flowrack,781.0,apanha_a
50,51,10271,PREDNISONA 20MG C/ 10COMP,A,A,A,20852.0,94.0,29876.0,171.0,14.0,171.0,131.0,90.0,131.0,121.9415,6.714300000000001,174.7135,2.0,014-028-01-02,8,10.0,96.0,180.0,200.0,Não,22.022,Flowrack,383.0,apanha_a
51,52,232425,VOLIG 4MG C/ 10COMP,A,A,A,20545.0,139.0,27217.0,253.0,26.0,253.0,299.0,181.0,299.0,81.2055,5.346200000000001,107.5771,49.0,014-014-02-02,8,8.0,48.0,229.0,192.0,Não,25.024,Flowrack,517.0,apanha_a
52,53,231166,SUAVICID CRM C/ 15GR,A,A,A,20295.0,78.0,24663.0,262.0,24.0,262.0,180.0,201.0,180.0,77.4618,3.25,94.1336,85.0,014-006-02-01,5,5.0,56.0,235.0,280.0,Não,25.083,Flowrack,1637.0,apanha_a
53,54,232487,REPOFLOR 250MG FR C/10 CAP DURA - L,A,A,A,20189.0,62.0,26389.0,238.0,11.0,238.0,164.0,106.0,164.0,84.82770000000001,5.6364,110.8782,0.0,015-035-01-01,5,5.0,100.0,310.0,300.0,Não,26.064,Flowrack,914.0,apanha_a
54,55,10085,ALBENDAZOL SUSP 10ML,A,B,A,20066.0,16.0,21986.0,213.0,7.0,213.0,108.0,54.0,108.0,94.20660000000001,2.2857,103.2207,34.0,014-036-01-02,8,8.0,120.0,316.0,360.0,Não,27.014,Flowrack,425.0,apanha_a
55,56,231957,CENEVIT ZINCO 1G+10MG C/ 10CP EFR,A,A,A,19982.0,2518.0,171062.0,231.0,60.0,236.0,185.0,112.0,185.0,86.5022,41.9667,724.839,0.0,016-037-01-01,0,3.0,60.0,0.0,180.0,Não,28.083,Flowrack,725.0,pallet
56,57,232338,CELERG C/ 20COMP,A,A,A,19549.0,88.0,24829.0,255.0,18.0,255.0,204.0,88.0,204.0,76.6627,4.8889,97.3686,24.0,015-011-01-02,12,15.0,60.0,355.0,480.0,Não,22.024,Flowrack,851.0,apanha_a
57,58,10592,HIDROCLOROTIAZIDA 25MG C/ 30CP,A,A,A,18777.0,195.0,35157.0,173.0,37.0,175.0,133.0,59.0,133.0,108.5376,5.270300000000001,200.8971,102.0,015-003-01-01,10,10.0,84.0,213.0,252.0,Não,25.082,Flowrack,369.0,apanha_a
58,59,10203,CEFALEXINA 500MG (AM) C/ 10COMP,A,A,A,18473.0,225.0,29273.0,103.0,38.0,103.0,114.0,95.0,114.0,179.3495,5.9211,284.2039,0.0,016-017-01-01,0,20.0,48.0,0.0,384.0,Não,20.013,Flowrack,381.0,antibiotico
59,60,102018,EMISTIN 20COMP,A,A,A,18419.0,39.0,20291.0,264.0,25.0,264.0,295.0,153.0,295.0,69.7689,1.56,76.8598,28.0,015-031-01-02,10,10.0,48.0,208.0,336.0,Não,25.074,Flowrack,1216.0,apanha_a
60,61,10160,DEXAMETASONA ELIXIR 120ML,A,A,A,18238.0,93.0,23818.0,247.0,41.0,248.0,158.0,97.0,158.0,73.8381,2.2683,96.0403,3.0,014-020-01-02,9,6.0,60.0,201.0,240.0,Não,21.075,Flowrack,345.0,apanha_a
61,62,101819,SUPLEVIT MULHER C/ 60CAPS GEL,A,A,A,18143.0,695.0,35518.0,258.0,149.0,259.0,460.0,260.0,460.0,70.3217,4.664400000000001,137.1351,283.0,015-015-01-01,12,16.0,25.0,85.0,100.0,Não,29.052,Flowrack,1129.0,apanha_a
62,63,10039,DIPIRONA SOD 20ML,A,B,A,18120.0,10.0,24520.0,175.0,3.0,177.0,85.0,39.0,85.0,103.5429,3.3333,138.5311,0.0,014-014-01-02,0,6.0,120.0,0.0,240.0,Não,26.034,Flowrack,460.0,apanha_a
63,64,232028,NATUS GERIN C/50 CAPS,A,A,A,18102.0,141.0,25152.0,260.0,40.0,260.0,345.0,157.0,345.0,69.62310000000001,3.525,96.7385,139.0,015-021-01-02,8,8.0,50.0,27.0,108.0,Não,29.014,Flowrack,1337.0,apanha_a
64,65,232484,EXPEC HEDRA 7MG/ML SOL ORAL C/ 100 ML-L,A,A,A,17939.0,58.0,21419.0,221.0,18.0,224.0,332.0,108.0,332.0,81.17190000000001,3.2222,95.6205,169.0,014-024-01-02,8,8.0,60.0,187.0,180.0,Não,21.055,Flowrack,242.0,apanha_a
65,66,10018,NEOMICINA+BACITRACINA POM 15G,A,A,A,17900.0,120.0,24620.0,212.0,21.0,212.0,152.0,48.0,152.0,84.434,5.714300000000001,116.1321,59.0,014-018-02-02,4,61.0,56.0,163.0,200.0,Não,21.072,Flowrack,617.0,apanha_a
66,67,109020,POLICLAVUMOXIL BD 400MG (AM) SUSP 70ML,A,A,A,17600.0,356.0,26500.0,231.0,75.0,231.0,382.0,205.0,382.0,76.1905,4.746700000000001,114.7186,261.0,016-025-01-01,11,5.0,25.0,92.0,100.0,Não,21.081,Flowrack,92.0,antibiotico
67,68,10198,DEXCL+BETA XPE 120ML,A,A,A,17569.0,106.0,23929.0,234.0,39.0,234.0,147.0,98.0,147.0,75.08120000000001,2.7179,102.2607,6.0,014-032-01-01,8,8.0,60.0,200.0,240.0,Não,28.066,Flowrack,540.0,apanha_a
68,69,407759,SILDENAFILA  50MG C/  4COMP,A,A,A,17548.0,36.0,21148.0,105.0,14.0,109.0,114.0,57.0,114.0,167.1238,2.5714,194.0183,0.0,015-031-01-02,5,8.0,100.0,43.0,300.0,Não,21.033,Flowrack,430.0,apanha_a
69,70,11673,ZOLPIDEM 10MG (B1)** C/ 30COMP,A,A,A,17488.0,193.0,29068.0,218.0,49.0,222.0,149.0,98.0,149.0,80.2202,3.9388,130.9369,55.0,018-003-01-01,10,10.0,60.0,226.0,300.0,Não,10.055,Flowrack,528.0,controlado
70,71,236019,DORILEN GOTAS FR 15ML,A,A,A,16836.0,35.0,21036.0,246.0,17.0,246.0,119.0,86.0,119.0,68.43900000000001,2.0588,85.5122,31.0,014-038-01-01,5,5.0,120.0,248.0,360.0,Não,29.042,Flowrack,675.0,apanha_a
71,72,61833,-,A,A,A,16634.0,41.0,18602.0,20.0,3.0,20.0,4.0,2.0,4.0,831.7,13.6667,930.1,,,,,,,,,,,0.0,
72,73,236004,COLIRIO LEGRAND SOL OFT C/ 20ML,A,A,A,16460.0,49.0,21360.0,229.0,19.0,229.0,152.0,142.0,152.0,71.8777,2.5789,93.27510000000001,0.0,015-035-01-02,0,5.0,100.0,0.0,200.0,Não,23.033,Flowrack,765.0,apanha_a
73,74,231933,LACTULIV 667MG/ML SOL AMEIXA 120ML,A,A,A,16440.0,41.0,18900.0,243.0,18.0,243.0,182.0,176.0,182.0,67.6543,2.2778,77.7778,35.0,014-018-01-01,5,5.0,60.0,240.0,240.0,Não,25.065,Flowrack,1004.0,apanha_a
74,75,62880,MEDTESTE AUTOTESTE COVID-19 AG,A,C,A,16391.0,1.0,17010.0,50.0,1.0,50.0,211.0,11.0,211.0,327.82,1.0,340.2,0.0,010-044-01-01,0,1.0,619.0,0.0,0.0,Sim,,,481.0,ponta
75,76,10806,ACET DE DEXAMETASONA CREME 10G,A,A,A,16043.0,40.0,18283.0,243.0,11.0,243.0,145.0,78.0,145.0,66.0206,3.6364,75.23870000000001,35.0,015-037-01-02,10,12.0,56.0,241.0,224.0,Não,29.054,Flowrack,994.0,apanha_a
76,77,102114,POLICLAVUMOXIL 500MG (AM) 12COMP,A,A,A,15837.0,296.0,26493.0,90.0,23.0,90.0,212.0,69.0,212.0,175.9667,12.8696,294.3667,0.0,016-027-01-02,0,16.0,36.0,0.0,108.0,Não,26.013,Flowrack,148.0,antibiotico
77,78,10145,DIPIRONA SOD 500MG 24X10 240 COMP,A,A,A,15402.0,435.0,25842.0,204.0,51.0,205.0,270.0,86.0,270.0,75.5,8.5294,126.0585,0.0,016-035-01-01,0,10.0,24.0,0.0,96.0,Não,21.909,Ponta De G,1142.0,pallet
78,79,231019,PEPSOGEL SUSP 240ML,A,A,A,15367.0,42.0,16837.0,235.0,27.0,235.0,261.0,135.0,261.0,65.39150000000001,1.5556,71.6468,63.0,010-030-01-01,8,10.0,35.0,99.0,140.0,Não,27.905,Ponta De G,547.0,ponta
79,80,103008,EMISTIN CREME 20GR,A,A,A,15329.0,37.0,17401.0,249.0,25.0,249.0,140.0,97.0,140.0,61.5622,1.48,69.8835,11.0,014-016-02-02,10,10.0,56.0,149.0,224.0,Não,28.084,Flowrack,1124.0,apanha_a
80,81,10220,DEXCLORFENIRAMINA XPE 120ML,A,A,A,14984.0,85.0,20084.0,236.0,37.0,237.0,126.0,85.0,126.0,63.4915,2.2973,84.74260000000001,0.0,014-028-01-01,4,6.0,60.0,213.0,240.0,Não,26.036,Flowrack,349.0,apanha_a
81,82,101355,POLICLAVUMOXIL BD 875+125MG(AM) C/14COMP,A,A,A,14866.0,80.0,18866.0,179.0,12.0,179.0,256.0,56.0,256.0,83.05030000000001,6.666700000000001,105.3966,26.0,016-021-01-02,13,5.0,50.0,25.0,50.0,Não,21.044,Flowrack,135.0,antibiotico
82,83,11386,CLOR METILFENIDATO (A3)** 10MG C/30,A,A,A,14634.0,96.0,20394.0,65.0,25.0,65.0,110.0,51.0,110.0,225.1385,3.84,313.7538,0.0,018-008-01-01,12,10.0,60.0,280.0,300.0,Não,11.905,Ponta De G,0.0,controlado
83,84,10539,ACETILCISTEINA 40MG/ML XPE 120ML,A,A,A,14630.0,60.0,18230.0,228.0,29.0,228.0,124.0,60.0,124.0,64.1667,2.069,79.9561,0.0,016-043-01-01,3,6.0,60.0,225.0,240.0,Não,23.045,Flowrack,277.0,pallet
84,85,10148,AMOX+CLAVUL POT 500+125MG (AM) C/ 18CP,A,A,A,14170.0,93.0,17518.0,113.0,16.0,113.0,168.0,111.0,168.0,125.3982,5.8125,155.0265,0.0,016-023-01-02,0,19.0,36.0,0.0,100.0,Não,23.013,Flowrack,776.0,antibiotico
85,86,14386,AMOX+CLAVUL POT 875+125MG (AM) C/ 14CP,A,B,A,14163.0,24.0,15363.0,181.0,8.0,181.0,236.0,73.0,236.0,78.24860000000001,3.0,84.8785,28.0,016-029-01-02,3,5.0,50.0,0.0,100.0,Não,29.043,Flowrack,266.0,antibiotico
86,87,10735,AMOX+CLAVUL POT SUSP 400MG (AM) 70ML,A,A,A,14083.0,389.0,23808.0,161.0,45.0,164.0,190.0,77.0,190.0,87.47200000000001,8.644400000000001,145.1707,79.0,016-023-01-01,12,14.0,25.0,21.0,50.0,Não,21.036,Flowrack,258.0,antibiotico
87,88,232429,VOLIG 8MG C/ 10COMP,A,A,A,14076.0,92.0,18492.0,242.0,13.0,242.0,213.0,150.0,213.0,58.1653,7.0769,76.4132,30.0,014-006-02-01,10,10.0,48.0,370.0,332.0,Não,21.073,Flowrack,507.0,apanha_a
88,89,102256,ALLEXOFEDRIN 120MG C/ 10COM REV-,A,B,A,13837.0,32.0,15373.0,256.0,17.0,256.0,102.0,66.0,102.0,54.0508,1.8824,60.0508,5.0,014-036-02-02,20,20.0,48.0,328.0,384.0,Não,22.053,Flowrack,740.0,apanha_a
89,90,10008,CEFALEXINA 500MG (AM) C/ 8COMP,A,A,A,13819.0,89.0,18091.0,179.0,38.0,180.0,245.0,96.0,245.0,77.2011,2.3421,100.5056,0.0,016-025-01-02,0,12.0,48.0,32.0,332.0,Não,26.072,Flowrack,1262.0,antibiotico
90,91,232122,REPOPIL C/ 21 CPDS REV,A,A,A,13719.0,101.0,18567.0,239.0,33.0,239.0,224.0,139.0,224.0,57.40170000000001,3.0606,77.6862,11.0,015-021-01-01,6,8.0,48.0,153.0,297.0,Não,22.072,Flowrack,664.0,apanha_a
91,92,10235,"CLORTALIDONA 12,5MG C/ 60COMP",A,B,A,13699.0,18.0,15211.0,137.0,5.0,137.0,34.0,42.0,34.0,99.9927,3.6,111.0292,52.0,015-025-01-02,2,2.0,84.0,245.0,336.0,Não,25.072,Flowrack,236.0,apanha_a
92,93,11095,PREDNISOLONA 20MG C/ 10COMP,A,A,A,13527.0,120.0,23607.0,227.0,11.0,227.0,140.0,75.0,140.0,59.59030000000001,10.9091,103.9956,25.0,015-035-01-02,9,10.0,84.0,115.0,191.0,Não,25.014,Flowrack,362.0,apanha_a
93,94,106004,DORSPAN SOL ORAL C/ 20ML,A,B,A,13266.0,8.0,15386.0,182.0,3.0,182.0,99.0,62.0,99.0,72.8901,2.6667,84.5385,63.0,014-022-01-02,3,3.0,120.0,254.0,240.0,Não,21.023,Flowrack,499.0,apanha_a
94,95,231963,REPOFLOR 250MG C/10 SACHES - L,A,B,A,12990.0,31.0,14850.0,235.0,13.0,235.0,343.0,136.0,343.0,55.2766,2.3846,63.1915,23.0,014-014-02-01,6,7.0,60.0,84.0,120.0,Não,27.013,Flowrack,538.0,apanha_a
