Código,Descrição,Qtde em Receb.,Estoque Armaz.,Apanha,Permite Frac.,Ender.Cx.Fechada,Embal.,Capacidade,Estoque,Apanha.1,Ender.Fracionado,Tipo,Embal..1,Capacidade.1,Estoque.1
20000570115.0,ACERATUM 100MG/ML C/10 ML,0.0,1.0,Sim,Sim,012-056-01-01,120.0,1.0,1 (+60 fr),Sim,23.228,Prateleira,1.0,60.0,45.0
20000060792.0,ACE-RIO 98 ML - REMOVEDOR DE ESMALTE,0.0,0.0,Não,Não,,12.0,0.0,0,Não,,,1.0,0.0,0.0
20000000278.0,ACEROLA 500MG 60 CAPS MAXINUTRI,0.0,0.0,Não,Não,,12.0,0.0,0,Não,,,1.0,0.0,0.0
20000060148.0,ACESSORIO ADESIVO HYDRA TENTACAO GULA,0.0,0.0,Não,Não,,12.0,0.0,0,Não,,,1.0,0.0,0.0
20000001077.0,ACESSORIO AUTO ADESIVO HYDRA PAIXAO 90UN,0.0,0.0,Não,Não,,1.0,0.0,0,Não,,,0.0,0.0,0.0
20000060575.0,ACESSORIO AUTO ADESIVO HYDRA PODER 90 UN,0.0,0.0,Não,Não,,12.0,0.0,0,Não,,,1.0,0.0,0.0
20000001485.0,ACESSORIO FLOSS PICKS ADULTO C 50 UN,0.0,0.0,Sim,Não,017-025-01-02,12.0,1.0,1,Sim,24.166,Prateleira,1.0,12.0,9.0
20000131821.0,ACET CIPROTERONA+ETINILEST C/21 CPR NEO-,0.0,0.0,Não,Não,,60.0,0.0,0,Não,,,1.0,0.0,0.0
20000010806.0,ACET DE DEXAMETASONA CREME 10G,0.0,35.0,Sim,Não,015-037-01-02,56.0,12.0,10,Sim,29.054,Flowrack,1.0,224.0,241.0
20000012650.0,ACET DE DEXAMETASONA CREME 10G,0.0,0.0,Sim,Não,015-023-01-01,56.0,2.0,1,Sim,20.081,Flowrack,1.0,168.0,98.0
20000904897.0,ACET DE PREDNI SUSP OFT 1FRX5ML GEOLAB G,0.0,0.0,Não,Não,,60.0,0.0,0,Não,,,1.0,0.0,0.0
20000903710.0,ACET FLUO+SUL NEO+POL B+LID (AM) GTS,0.0,0.0,Sim,Não,016-025-01-02,60.0,1.0,0,Sim,22.475,Prateleira,1.0,20.0,20.0
20000406564.0,ACET TRIANCINOLONA PDA 10GR,0.0,0.0,Não,Não,,100.0,0.0,0,Não,,,1.0,0.0,0.0
20000012384.0,ACET TRIANCINOLONA PDA 10GR,0.0,0.0,Sim,Não,012-054-01-02,56.0,2.0,0,Sim,22.226,Prateleira,1.0,50.0,75.0
20000010479.0,ACET TRIANCINOLONA PDA 10GR,0.0,72.0,Sim,Não,014-036-02-01,56.0,12.0,12,Sim,21.022,Flowrack,1.0,224.0,78.0
20000012102.0,ACET TRIA+SUL NEO+GRA+NIST (AM) CRM 30G,0.0,0.0,Sim,Não,,42.0,3.0,0,Sim,,,1.0,30.0,0.0
20000405437.0,ACET TRIA+SUL NEO+GRA+NIST (AM) CRM 30G,0.0,0.0,Sim,Sim,016-029-01-02,80.0,1.0,0,Sim,26.306,Prateleira,1.0,80.0,18.0
20000010215.0,ACET TRIA+SUL NEO+GRA+NIST (AM) CRM 30G,0.0,0.0,Sim,Não,016-009-01-02,42.0,7.0,1,Sim,22.323,Prateleira,1.0,42.0,8.0
20000010214.0,ACET TRIA+SUL NEO+GRA+NIST (AM) PDA 30G,0.0,0.0,Sim,Não,016-021-01-02,42.0,5.0,1,Sim,22.224,Prateleira,1.0,42.0,30.0
20000600307.0,ACETATO DE DEXAMETASONA CREME UQ GEN,0.0,0.0,Não,Sim,,80.0,0.0,0,Não,,,1.0,0.0,0.0
20000690698.0,ACETATO DE DEXAMETASONA 1MG CR 10G CIMED,0.0,0.0,Não,Sim,,200.0,0.0,0,Não,,,1.0,0.0,0.0
20000062424.0,ACETATO DE DEXAMETASONA 10G GEN,0.0,0.0,Não,Sim,,100.0,0.0,0,Não,,,1.0,0.0,0.0
20000400006.0,ACETILCISTEINA  20MG XPE 100ML EURO,0.0,0.0,Não,Sim,,40.0,0.0,0,Não,,,1.0,0.0,0.0
20000400007.0,ACETILCISTEINA  20MG XPE 150ML EURO,0.0,0.0,Não,Sim,,40.0,0.0,0,Não,,,1.0,0.0,0.0
20000903379.0,ACETILCISTEINA XPE AD 40MG 120ML GEOLAB,0.0,0.0,Não,Não,,40.0,0.0,0,Sim,,,1.0,16.0,0.0
20000600285.0,ACETILCISTEINA 10% SOL INJX5 UQGEN,0.0,0.0,Não,Não,,48.0,0.0,0,Não,,,1.0,0.0,0.0
20000400003.0,ACETILCISTEINA 100MG 16ENV 5G,0.0,0.0,Sim,Sim,016-008-01-01,84.0,1.0,0,Não,,,1.0,0.0,0.0
20000063004.0,ACETILCISTEÍNA 20MG/ML XPE 100ML,0.0,0.0,Não,Sim,,60.0,0.0,0,Não,,,1.0,0.0,0.0
20000014340.0,ACETILCISTEINA 20MG/ML XPE 120ML,0.0,0.0,Sim,Não,015-027-01-01,60.0,3.0,0,Sim,20.026,Flowrack,1.0,240.0,131.0
20000010579.0,ACETILCISTEINA 20MG/ML XPE 120ML,0.0,38.0,Sim,Não,016-043-01-01,60.0,6.0,7,Sim,29.085,Flowrack,1.0,240.0,184.0
20000012511.0,ACETILCISTEINA 20MG/ML XPE 120ML,0.0,0.0,Sim,Não,014-010-01-01,60.0,3.0,1,Sim,26.065,Flowrack,1.0,90.0,36.0
20000010358.0,ACETILCISTEINA 200MG 16ENV 5G,0.0,0.0,Sim,Sim,015-041-01-02,36.0,10.0,5,Sim,27.024,Flowrack,1.0,108.0,12.0
20000400005.0,ACETILCISTEINA 200MG 16ENV 5G,0.0,0.0,Sim,Sim,017-035-01-02,50.0,1.0,0,Sim,22.285,Prateleira,1.0,30.0,6.0
20000014265.0,ACETILCISTEINA 40MG/ML XPE 120ML,0.0,0.0,Sim,Não,015-007-01-02,60.0,8.0,6,Sim,29.045,Flowrack,1.0,180.0,76.0
20000423943.0,ACETILCISTEINA 40MG/ML XPE 120ML,0.0,0.0,Não,Não,,0.0,0.0,0,Não,,,1.0,0.0,0.0
20000012449.0,ACETILCISTEINA 40MG/ML XPE 120ML,0.0,0.0,Sim,Não,014-012-01-01,60.0,17.0,0,Sim,21.085,Flowrack,1.0,115.0,72.0
20000010539.0,ACETILCISTEINA 40MG/ML XPE 120ML,0.0,0.0,Sim,Não,016-043-01-01,60.0,6.0,3,Sim,23.045,Flowrack,1.0,240.0,225.0
20000063005.0,ACETILCISTEÍNA 40MG/ML XPE 120ML,0.0,0.0,Não,Não,,60.0,0.0,0,Não,,,1.0,0.0,0.0
20000012448.0,ACETILCISTEINA 600MG 16ENV 5G,0.0,0.0,Sim,Não,015-031-01-02,36.0,10.0,0,Sim,20.056,Flowrack,1.0,288.0,1.0
20000400008.0,ACETILCISTEINA 600MG 16ENV 5G,0.0,0.0,Não,Sim,,50.0,0.0,0,Sim,26.354,Prateleira,1.0,20.0,8.0
20000062504.0,ACETILCISTEINA 600MG 16ENV 5G,0.0,0.0,Não,Não,,75.0,0.0,0,Não,,,1.0,0.0,0.0
20000010538.0,ACETILCISTEINA 600MG 16ENV 5G,0.0,0.0,Sim,Sim,014-028-01-02,36.0,5.0,0,Sim,29.012,Flowrack,1.0,108.0,0.0
20000014263.0,ACETILCISTEINA 600MG 16ENV 5G,0.0,0.0,Sim,Não,014-026-02-01,36.0,10.0,7,Sim,26.205,Prateleira,1.0,36.0,23.0
20000063339.0,ACEVITON 1G TB X 10 COMP EFERV CIMED,0.0,0.0,Não,Não,,200.0,0.0,0,Não,,,1.0,0.0,0.0
20000430329.0,ACFOL 5MG C/40 COMP,0.0,0.0,Sim,Sim,016-036-01-02,135.0,1.0,0,Não,,,1.0,0.0,0.0
20000064489.0,ACICLOVIR  200MG C/ 25COMP,0.0,0.0,Não,Não,,0.0,0.0,0,Não,,,1.0,0.0,0.0
20000666335.0,ACICLOVIR CR 10G CIFARMA,0.0,0.0,Não,Sim,,100.0,0.0,0,Não,,,1.0,0.0,0.0
20000010021.0,ACICLOVIR CREME 10GR GEN EMS,0.0,0.0,Não,Não,,56.0,0.0,0,Não,,,1.0,0.0,0.0
20000500000.0,ACICLOVIR CREME 10GR MULTILAB,0.0,0.0,Sim,Sim,,100.0,2.0,0,Sim,,,1.0,54.0,0.0
20000026901.0,ACICLOVIR CREME 10GR NQ,0.0,0.0,Não,Não,,56.0,0.0,0,Não,,,1.0,0.0,0.0
20000034153.0,ACICLOVIR CREME 50MG/G BISN 10G LG,0.0,0.0,Sim,Não,012-054-01-02,56.0,2.0,0,Sim,22.533,Prateleira,1.0,30.0,64.0
20000030027.0,ACICLOVIR CREME 50MG/G 10GR,0.0,0.0,Não,Não,,56.0,0.0,0,Não,,,1.0,0.0,0.0
20000016256.0,ACICLOVIR CREME 50MG/G 10GR,0.0,0.0,Sim,Não,017-033-01-01,56.0,2.0,0,Sim,9010.0,Flowrack,1.0,56.0,90.0
20000133096.0,ACICLOVIR CREME 50MG/G 10GR,0.0,0.0,Sim,Sim,017-037-01-02,100.0,1.0,0,Sim,26.398,Prateleira,1.0,50.0,10.0
20000011791.0,ACICLOVIR CREME 50MG/G 10GR,0.0,0.0,Sim,Não,014-010-02-02,56.0,9.0,1,Sim,27.063,Flowrack,1.0,168.0,144.0
20000690762.0,ACICLOVIR CREME 50MG/G 10GR,0.0,0.0,Não,Sim,,200.0,0.0,0,Não,,,1.0,0.0,0.0
20000029365.0,ACICLOVIR 200MG C/30COMP -,0.0,0.0,Não,Sim,,56.0,0.0,0,Não,,,1.0,0.0,0.0
20000016248.0,ACICLOVIR 200MG 1BLX25 COM - GD,0.0,0.0,Sim,Sim,017-009-01-01,60.0,2.0,0,Sim,9010.0,Flowrack,1.0,60.0,49.0
20000011858.0,ACICLOVIR 400MG C/30COMP,0.0,0.0,Sim,Não,017-021-01-02,48.0,2.0,1,Sim,21.247,Prateleira,1.0,48.0,0.0
20000034186.0,ACICLOVIR 400MG 2BLTX15 COM-GL,0.0,0.0,Sim,Não,012-066-01-01,48.0,2.0,0,Sim,26.167,Prateleira,1.0,48.0,37.0
20000903209.0,ACICLOVIR 50MG CR DERM 10G GEOLAB,0.0,0.0,Não,Não,,60.0,0.0,0,Não,,,1.0,0.0,0.0
20000063917.0,ACIDO CITRICO ANIDRO FINO PRIMIENT,0.0,0.0,Não,Não,,0.0,0.0,0,Não,,,0.0,0.0,0.0
20000014426.0,ACIDO MEFENAMICO 500MG C/ 24COMP,0.0,0.0,Sim,Não,015-003-01-02,48.0,7.0,0,Sim,23.054,Flowrack,1.0,192.0,0.0
20000012610.0,ACIDO MEFENAMICO 500MG C/ 24COMP,0.0,0.0,Não,Não,,48.0,0.0,0,Não,,,1.0,0.0,0.0
20000010766.0,ACIDO MEFENAMICO 500MG C/ 24COMP,0.0,0.0,Sim,Não,014-022-01-01,48.0,8.0,0,Sim,22.012,Flowrack,1.0,144.0,0.0
20000014497.0,ACIDO TRANEXAMICO 250MG C/ 12COMP,0.0,0.0,Sim,Não,015-017-01-01,48.0,3.0,1,Sim,28.021,Flowrack,1.0,384.0,140.0
20000010833.0,ACIDO TRANEXAMICO 250MG C/ 12COMP,0.0,3.0,Sim,Não,014-040-02-01,48.0,12.0,12,Sim,20.082,Flowrack,1.0,332.0,285.0
20000011967.0,ACIDO URSODESOXICOLICO 150MG C/ 30COMP,0.0,0.0,Sim,Não,017-033-01-01,48.0,2.0,0,Sim,25.121,Prateleira,1.0,48.0,79.0
20000011968.0,ACIDO URSODESOXICOLICO 300MG C/ 30COMP,0.0,0.0,Sim,Não,017-021-01-01,56.0,2.0,0,Sim,25.104,Prateleira,1.0,56.0,58.0
20000690006.0,ACNEZIL 50MG/G GEL BISNAGA 20G,0.0,0.0,Sim,Sim,017-041-01-01,60.0,1.0,0,Sim,,,1.0,30.0,0.0
20000063915.0,AÇUCAR REFINADO GRANULADO,0.0,0.0,Não,Não,,0.0,0.0,0,Não,,,0.0,0.0,0.0
20000063949.0,ACUCAR SACHE CARAVELAS - CAIXA C/ 1.000,0.0,0.0,Não,Não,,0.0,0.0,0,Não,,,0.0,0.0,0.0
20000012415.0,ADAPALENO GEL 30GR,0.0,0.0,Sim,Não,017-027-01-02,42.0,2.0,0,Sim,25.436,Prateleira,1.0,42.0,35.0
20000061971.0,ADAPTADOR DE CINTO U ANIMAL PRINT,0.0,0.0,Não,Sim,,50.0,0.0,0,Não,,,1.0,30.0,0.0
20000062536.0,ADD LIFE PRO SACCH,0.0,0.0,Não,Não,,0.0,0.0,0,Não,,,0.0,0.0,0.0
20000000195.0,ADEGA VINHO,0.0,0.0,Não,Sim,,1.0,0.0,0,Não,,,0.0,0.0,0.0
20000002416.0,ADEMIL GTS 20ML,0.0,0.0,Não,Não,,100.0,0.0,0,Sim,26.356,Prateleira,1.0,100.0,21.0
20000001367.0,ADESTRAMENTO,0.0,0.0,Não,Não,,30.0,0.0,0,Não,,,1.0,0.0,0.0
20000000958.0,ADITIVO ANTI ODOR (AREIA),0.0,0.0,Não,Não,,24.0,0.0,0,Não,,,1.0,0.0,0.0
20000803221.0,ADITIVO FRESH BREATH TROPICLEAN-473ML,0.0,0.0,Não,Não,,0.0,0.0,0,Não,,,1.0,0.0,0.0
20000001516.0,ADITIVOS P GRANULADOS BACTERICIDA 500G,0.0,0.0,Não,Não,,12.0,0.0,0,Não,,,0.0,0.0,0.0
20000001515.0,ADITIVOS P GRANULADOS CAMPESTRE 500G,0.0,0.0,Não,Não,,12.0,0.0,0,Não,,,1.0,0.0,0.0
20000001517.0,ADITIVOS P GRANULADOS FLORAL 500G,0.0,0.0,Não,Não,,12.0,0.0,0,Não,,,1.0,0.0,0.0
20000063572.0,ADRENA SYNTEX - 60 CAPS,0.0,0.0,Sim,Não,017-029-01-01,12.0,2.0,0,Não,,,1.0,0.0,0.0
20000064205.0,ADRIA MOUSSE CHOCOLATE AO LEITE 50X130G,0.0,0.0,Não,Não,,0.0,0.0,0,Não,,,1.0,0.0,0.0
20000064586.0,ADVANSEPT CLOREXIDINA 1% SPRAY 30ML ADV,0.0,0.0,Não,Não,,0.0,0.0,0,Não,,,1.0,0.0,0.0
20000064587.0,ADVANSEPT CLOREXIDINA 1% SPRAY 60ML ADV,0.0,0.0,Sim,Não,016-026-01-01,24.0,2.0,1,Sim,20.145,Prateleira,1.0,24.0,22.0
20000801120.0,"ADVANTAG MAX 3 CÃES DE 10 A 25KG-2,5ML",0.0,0.0,Não,Não,,48.0,0.0,0,Não,,,1.0,0.0,0.0
20000801113.0,"ADVANTAGE CÃES E GATOS ACIMA 25KG-4,0ML",0.0,0.0,Não,Não,,10.0,0.0,0,Não,,,1.0,0.0,0.0
20000801110.0,"ADVANTAGE CÃES E GATOS ATÉ 4KG-0,4ML",0.0,0.0,Não,Não,,10.0,0.0,0,Não,,,1.0,0.0,0.0
20000801113.0,"ADVANTAGE CÃES E GATOS ACIMA 25KG-4,0ML",0.0,0.0,Não,Não,,10.0,0.0,0,Não,,,1.0,0.0,0.0
20000801110.0,"ADVANTAGE CÃES E GATOS ATÉ 4KG-0,4ML",0.0,0.0,Não,Não,,10.0,0.0,0,Não,,,1.0,0.0,0.0
20000801112.0,"ADVANTAGE CÃES E GATOS 10 A 25KG-2,5ML",0.0,0.0,Não,Não,,10.0,0.0,0,Não,,,1.0,0.0,0.0
20000801111.0,"ADVANTAGE CÃES E GATOS 4 A 10KG-1,0ML",0.0,0.0,Não,Não,,10.0,0.0,0,Não,,,1.0,0.0,0.0
20000801121.0,"ADVANTAGE MAX 3 CÃES ACIMA 25KG-4,0ML",0.0,0.0,Não,Não,,48.0,0.0,0,Não,,,1.0,0.0,0.0
20000801115.0,"ADVANTAGE MAX 3 CÃES ATÉ 4KG-0,4ML",0.0,0.0,Não,Não,,20.0,0.0,0,Não,,,1.0,0.0,0.0
20000801114.0,"ADVANTAGE MAX 3 CÃES DE 4 A 10KG-1,0ML",0.0,0.0,Não,Sim,,48.0,0.0,0,Não,,,1.0,0.0,0.0
20000448482.0,AD-VITAM GOTAS FR 20ML NATULAB,0.0,0.0,Não,Sim,,50.0,0.0,0,Não,,,1.0,0.0,0.0
20000063961.0,ADVITIL BABY 20ML GOTAS - KRESS,0.0,2.0,Sim,Não,017-041-01-01,60.0,1.0,1,Sim,20.492,Prateleira,1.0,60.0,28.0
20000761802.0,ADVITIL FRASCO 20ML,0.0,0.0,Sim,Não,015-005-01-02,60.0,5.0,0,Sim,25.033,Flowrack,1.0,180.0,25.0
20000801107.0,"ADVOCATE CÃES ACIMA DE 25KG-4,0ML",0.0,0.0,Não,Não,,20.0,0.0,0,Não,,,1.0,0.0,0.0
20000801104.0,"ADVOCATE CÃES ATÉ 4KG-0,4ML",0.0,0.0,Não,Não,,48.0,0.0,0,Não,,,1.0,0.0,0.0
20000801106.0,"ADVOCATE CÃES DE 10KG A 25KG-2,5ML",0.0,0.0,Não,Não,,48.0,0.0,0,Não,,,1.0,0.0,0.0
20000801108.0,"ADVOCATE GATOS DE 4 A 8KG-0,8ML",0.0,0.0,Não,Sim,,300.0,3.0,2 (+25 fr),Sim,,,1.0,0.0,0.0
20000002795.0,AESCULI SEMEN (CASTANHA DA INDIA) 60CAPS,0.0,0.0,Não,Não,,0.0,0.0,0,Não,,,1.0,0.0,0.0
20000000628.0,AFASTA CÃO SPRAY 500 ML VET+20,0.0,0.0,Não,Não,,6.0,0.0,0,Não,,,1.0,0.0,0.0
20000447655.0,AFOLIC 5MG C/20COMP,0.0,0.0,Não,Sim,,200.0,0.0,0,Não,,,1.0,0.0,0.0
20000300184.0,AFOPIC 5MG C/20COMP,0.0,0.0,Sim,Sim,010-016-01-01,50.0,1.0,0,Sim,21.493,Prateleira,1.0,30.0,18.0
20000061891.0,AFTINE GOTAS 20ML CIFARMA,0.0,0.0,Não,Sim,,100.0,2.0,0,Sim,17.042,Flowrack,1.0,50.0,0.0
20000060505.0,AG ABSORVENTE SENSATY TAM U,0.0,0.0,Sim,Não,018-034-00-02,48.0,3.0,0,Sim,17.031,Flowrack,1.0,100.0,0.0
20000549058.0,AG CUBA BEAUTIFUL 100ML,0.0,0.0,Não,Não,,999.0,0.0,0,Não,,,1.0,0.0,0.0
20000549016.0,AG CUBA BEAUTY LADY AM 35ML,0.0,0.0,Não,Não,,999.0,0.0,0,Não,,,1.0,0.0,0.0
20000549022.0,AG CUBA BLUE AM 100ML,0.0,0.0,Não,Sim,,999.0,0.0,0,Não,,,1.0,0.0,0.0
20000549007.0,AG CUBA BLUE AM 35ML,0.0,0.0,Não,Não,,999.0,0.0,0,Não,,,1.0,0.0,0.0
20000543928.0,AG CUBA BLUE SKY DEO PRIME MASC 100ML,0.0,0.0,Não,Sim,,999.0,0.0,0,Não,,,1.0,0.0,0.0
20000549463.0,AG CUBA BLUE SKY 100ML,0.0,0.0,Não,Não,,999.0,0.0,0,Não,,,1.0,0.0,0.0
20000549062.0,AG CUBA BLUE SKY 35ML CUBA,0.0,0.0,Não,Não,,999.0,0.0,0,Não,,,1.0,0.0,0.0
20000543645.0,AG CUBA CANDY DEO FEM 100ML,0.0,0.0,Não,Sim,,999.0,0.0,0,Não,,,1.0,0.0,0.0
20000543720.0,AG CUBA CASINO ROYALE DEO MASC 100ML,0.0,0.0,Não,Sim,,999.0,0.0,0,Não,,,1.0,0.0,0.0
